date,open,high,low,close,volume,Name,
2018-02-06,37.68,39.83,37.01,39.72,5570478,BEN,
2018-02-05,40.29,40.96,38.94,38.95,5026727,BEN,
2018-02-02,41.58,41.97,40.67,40.88,3831607,BEN,
2018-02-01,42.09,42.45,41.405,42.07,6795330,BEN,
2018-01-31,42.92,42.92,42.23,42.41,6746940,BEN,
2018-01-30,44.64,45.21,42.45,42.72,4830479,BEN,
2018-01-29,45.7,45.87,45.06,45.12,2996029,BEN,
2018-01-26,45.34,45.9,45.02,45.86,3239528,BEN,
2018-01-25,45.58,45.73,44.9,45.16,2190975,BEN,
2018-01-24,45.71,45.96,45.1682,45.52,2306196,BEN,
2018-01-23,45.25,45.64,45.15,45.51,2266612,BEN,
2018-01-22,44.85,45.35,44.59,45.35,2339798,BEN,
2018-01-19,44.76,45.04,44.73,44.89,2948206,BEN,
2018-01-18,44.88,45.2,44.58,44.63,3033796,BEN,
2018-01-17,44.11,45.19,44.05,44.9,3268938,BEN,
2018-01-16,45.77,45.9,43.75,43.79,4716143,BEN,
2018-01-12,44.17,44.67,44.12,44.53,1996244,BEN,
2018-01-11,43.42,43.95,43.03,43.94,2529964,BEN,
2018-01-10,43.75,43.92,43.24,43.27,4639512,BEN,
2018-01-09,44.05,44.56,43.62,43.66,2258221,BEN,
2018-01-08,43.51,44.04,43.37,43.92,2404406,BEN,
2018-01-05,43.37,43.58,43.06,43.57,1973764,BEN,
2018-01-04,43.68,44.04,43.25,43.3,2110546,BEN,
2018-01-03,43.25,43.505,43.06,43.45,2033069,BEN,
2018-01-02,43.77,43.77,43.07,43.25,2378328,BEN,
2017-12-29,43.73,43.73,43.325,43.33,1092782,BEN,
2017-12-28,43.46,43.55,43.36,43.53,1415335,BEN,
2017-12-27,43.58,43.66,43.32,43.43,1021705,BEN,
2017-12-26,43.97,44.11,43.49,43.57,941468,BEN,
2017-12-22,43.86,44.03,43.661,43.91,966435,BEN,
2017-12-21,43.96,44.005,43.73,43.84,1730147,BEN,
2017-12-20,44.0,44.13,43.48,43.69,2675449,BEN,
2017-12-19,44.025,44.16,43.645,43.68,2699114,BEN,
2017-12-18,43.96,43.98,43.54,43.65,1879432,BEN,
2017-12-15,43.465,43.855,43.26,43.46,2928031,BEN,
2017-12-14,43.84,43.97,43.065,43.07,2254349,BEN,
2017-12-13,44.16,44.61,43.67,43.69,2671155,BEN,
2017-12-12,44.15,44.31,43.95,44.15,1746969,BEN,
2017-12-11,44.7,44.78,44.03,44.1,1642877,BEN,
2017-12-08,44.78,44.78,44.25,44.67,1504766,BEN,
2017-12-07,44.12,44.8,44.12,44.5,1544189,BEN,
2017-12-06,43.96,44.9,43.905,44.29,2473451,BEN,
2017-12-05,44.67,44.71,44.07,44.15,2239779,BEN,
2017-12-04,44.09,44.71,44.01,44.62,2752913,BEN,
2017-12-01,43.42,43.57,42.33,43.48,2921897,BEN,
2017-11-30,43.33,43.92,43.23,43.35,3581539,BEN,
2017-11-29,42.46,43.76,42.45,43.13,3005211,BEN,
2017-11-28,41.24,42.23,41.045,42.17,2865197,BEN,
2017-11-27,41.23,41.5,41.14,41.18,1814284,BEN,
2017-11-24,41.52,41.55,41.125,41.21,660470,BEN,
