date,open,high,low,close,volume,Name,
2018-02-06,178.62,191.96,175.42,191.04,11682716,HD,
2018-02-05,190.07,194.295,180.38,183.11,10618526,HD,
2018-02-02,199.25,199.3,193.44,193.97,6178952,HD,
2018-02-01,199.34,202.25,198.28,199.9,3553795,HD,
2018-01-31,203.22,205.083,200.23,200.9,4547323,HD,
2018-01-30,201.47,203.15,191.57,201.81,5979620,HD,
2018-01-29,207.23,207.605,204.71,204.92,3632937,HD,
2018-01-26,205.6,207.3098,204.44,207.23,3778050,HD,
2018-01-25,206.8,206.83,203.84,205.37,3537694,HD,
2018-01-24,205.2,207.1,204.551,206.22,4370661,HD,
2018-01-23,204.89,206.35,204.151,204.9,3621745,HD,
2018-01-22,201.6,204.47,201.51,204.46,4857697,HD,
2018-01-19,199.81,201.33,199.13,201.33,5809640,HD,
2018-01-18,199.78,200.24,197.66,198.33,4474606,HD,
2018-01-17,197.5,199.82,196.8401,199.82,3996052,HD,
2018-01-16,197.86,198.9496,195.7,196.31,5692715,HD,
2018-01-12,195.5,199.42,194.82,196.42,6748410,HD,
2018-01-11,191.68,194.73,191.4,194.68,3899237,HD,
2018-01-10,192.76,193.216,191.65,191.8,3119520,HD,
2018-01-09,192.7,193.47,191.64,193.1,3012324,HD,
2018-01-08,191.72,193.72,191.6,192.04,3508451,HD,
2018-01-05,190.93,192.54,190.51,192.5,4224807,HD,
2018-01-04,189.87,190.87,188.47,190.51,4047365,HD,
2018-01-03,188.0,189.36,187.819,189.01,4530468,HD,
2018-01-02,190.21,190.72,188.0103,188.03,4684674,HD,
2017-12-29,190.74,190.74,189.53,189.53,4637827,HD,
2017-12-28,190.91,190.98,189.64,189.78,3175674,HD,
2017-12-27,190.6,191.49,190.01,190.19,5912613,HD,
2017-12-26,188.53,190.42,188.34,190.36,2969182,HD,
2017-12-22,188.2,188.46,187.27,188.13,3256564,HD,
2017-12-21,187.7,188.84,187.44,188.08,5859058,HD,
2017-12-20,187.14,187.9024,186.035,187.31,5383692,HD,
2017-12-19,185.235,186.72,184.6,185.98,4576282,HD,
2017-12-18,183.96,185.47,183.5,184.73,5011891,HD,
2017-12-15,183.005,183.21,182.13,182.58,8202172,HD,
2017-12-14,183.88,184.0,182.06,182.13,3542922,HD,
2017-12-13,182.01,183.67,182.0,183.03,5177363,HD,
2017-12-12,182.75,183.21,181.66,181.8,5275512,HD,
2017-12-11,182.9,182.96,181.1201,182.25,6038891,HD,
2017-12-08,182.5,183.9,182.16,183.41,5092113,HD,
2017-12-07,180.05,182.58,179.77,182.0,5484946,HD,
2017-12-06,180.25,182.15,178.68,180.8,6892458,HD,
2017-12-05,184.79,184.91,182.2589,182.85,6347568,HD,
2017-12-04,183.19,186.31,183.19,184.9,6193849,HD,
2017-12-01,180.32,180.6,176.7,180.42,4683390,HD,
2017-11-30,178.07,180.67,177.41,179.82,9180664,HD,
2017-11-29,176.57,178.43,175.68,177.25,4902161,HD,
2017-11-28,174.89,176.77,172.9911,176.57,6048963,HD,
2017-11-27,172.87,174.91,172.38,174.16,4539828,HD,
2017-11-24,172.11,173.1,171.7425,172.33,1853587,HD,
