date,open,high,low,close,volume,Name,
2018-02-06,59.45,65.0,56.55,64.14,2537831,JEC,
2018-02-05,66.21,66.83,63.06,63.15,1819806,JEC,
2018-02-02,69.62,69.675,66.71,67.12,1043291,JEC,
2018-02-01,69.09,70.19,68.52,70.02,817375,JEC,
2018-01-31,70.79,70.99,69.01,69.46,894622,JEC,
2018-01-30,70.67,71.02,68.53,69.7,1179877,JEC,
2018-01-29,71.0,72.18,70.52,71.05,1446959,JEC,
2018-01-26,70.04,70.1299,69.32,69.95,755373,JEC,
2018-01-25,70.62,70.79,69.4,69.86,576905,JEC,
2018-01-24,70.3,70.9,69.83,70.24,733908,JEC,
2018-01-23,70.15,70.4,69.52,69.88,643899,JEC,
2018-01-22,69.71,70.47,69.47,70.23,986198,JEC,
2018-01-19,69.43,69.99,68.77,69.95,923850,JEC,
2018-01-18,69.9,70.05,69.25,69.39,748313,JEC,
2018-01-17,69.79,69.9,69.09,69.58,649736,JEC,
2018-01-16,70.0,70.35,69.25,69.42,1411935,JEC,
2018-01-12,69.86,69.86,69.27,69.56,1177071,JEC,
2018-01-11,68.13,69.52,67.95,69.5,1235120,JEC,
2018-01-10,67.79,68.19,67.261,67.81,735389,JEC,
2018-01-09,68.07,68.52,67.47,67.71,913606,JEC,
2018-01-08,68.0,68.16,67.34,67.96,1041245,JEC,
2018-01-05,68.01,68.31,67.37,68.14,1059074,JEC,
2018-01-04,67.5,68.0,66.97,67.79,1509972,JEC,
2018-01-03,67.0,67.45,66.76,67.1,1108621,JEC,
2018-01-02,66.5,67.34,66.2461,66.87,1145384,JEC,
2017-12-29,66.57,66.81,65.94,65.96,519526,JEC,
2017-12-28,66.61,66.75,66.14,66.57,506723,JEC,
2017-12-27,66.27,66.31,65.6,66.28,729116,JEC,
2017-12-26,65.94,66.4,65.1601,66.05,733734,JEC,
2017-12-22,66.25,66.9,66.01,66.28,495918,JEC,
2017-12-21,66.52,66.81,66.06,66.48,735398,JEC,
2017-12-20,66.785,67.03,66.37,66.39,885223,JEC,
2017-12-19,66.79,67.01,66.34,66.39,919720,JEC,
2017-12-18,66.85,67.2036,66.3,66.74,1244388,JEC,
2017-12-15,66.445,67.18,65.93,66.19,1636078,JEC,
2017-12-14,67.03,67.12,65.9,66.13,1190620,JEC,
2017-12-13,68.63,69.35,67.92,68.16,906923,JEC,
2017-12-12,68.46,68.95,68.2,68.39,714464,JEC,
2017-12-11,68.44,68.57,67.835,68.38,731659,JEC,
2017-12-08,68.0,68.69,67.56,68.51,854111,JEC,
2017-12-07,68.97,68.97,67.49,67.69,1041747,JEC,
2017-12-06,66.36,68.12,66.31,67.69,1247304,JEC,
2017-12-05,66.85,66.89,66.04,66.46,795578,JEC,
2017-12-04,66.3,67.69,66.12,66.69,1110542,JEC,
2017-12-01,65.87,65.99,63.881,65.46,733566,JEC,
2017-11-30,65.01,66.2,64.67,65.63,1024853,JEC,
2017-11-29,64.46,65.34,64.12,64.83,764774,JEC,
2017-11-28,63.39,64.75,62.73,64.56,1483063,JEC,
2017-11-27,63.33,63.9,62.89,63.32,903060,JEC,
2017-11-24,64.81,64.81,63.03,63.29,619304,JEC,
