date,open,high,low,close,volume,Name,
2018-02-06,20.13,21.085,19.9,21.01,18623708,KEY,
2018-02-05,21.4,21.86,20.48,20.61,12567352,KEY,
2018-02-02,21.84,22.22,21.69,21.76,15179486,KEY,
2018-02-01,21.37,21.93,21.32,21.93,8649681,KEY,
2018-01-31,21.46,21.63,21.315,21.4,7680616,KEY,
2018-01-30,21.65,21.84,21.43,21.43,11783461,KEY,
2018-01-29,21.78,21.99,21.7,21.8,9114451,KEY,
2018-01-26,21.7,21.86,21.44,21.83,8426174,KEY,
2018-01-25,21.88,21.88,21.57,21.67,10159625,KEY,
2018-01-24,21.71,21.87,21.575,21.73,10367911,KEY,
2018-01-23,21.3,21.77,21.26,21.61,9896574,KEY,
2018-01-22,21.13,21.42,21.08,21.39,9070523,KEY,
2018-01-19,20.77,21.37,20.77,21.16,13614716,KEY,
2018-01-18,20.66,21.0,20.62,20.82,20398050,KEY,
2018-01-17,21.33,21.4,21.06,21.26,11754751,KEY,
2018-01-16,21.54,21.71,21.17,21.32,10278721,KEY,
2018-01-12,21.36,21.465,21.19,21.42,10075339,KEY,
2018-01-11,21.13,21.24,21.025,21.19,6688250,KEY,
2018-01-10,20.82,21.28,20.76,21.01,8898065,KEY,
2018-01-09,20.37,20.89,20.3,20.74,9833897,KEY,
2018-01-08,20.35,20.35,20.16,20.28,7924685,KEY,
2018-01-05,20.47,20.47,20.215,20.33,5887406,KEY,
2018-01-04,20.44,20.59,20.28,20.32,10503329,KEY,
2018-01-03,20.23,20.295,20.1,20.24,9274445,KEY,
2018-01-02,20.32,20.37,20.04,20.17,6022760,KEY,
2017-12-29,20.33,20.41,20.17,20.17,5497377,KEY,
2017-12-28,20.31,20.36,20.19,20.35,4168643,KEY,
2017-12-27,20.3,20.35,20.18,20.24,4663066,KEY,
2017-12-26,20.44,20.565,20.22,20.33,3762485,KEY,
2017-12-22,20.57,20.58,20.325,20.44,5494421,KEY,
2017-12-21,20.19,20.52,20.18,20.43,6616857,KEY,
2017-12-20,20.29,20.33,19.9234,20.09,7105578,KEY,
2017-12-19,20.2,20.2967,20.1,20.12,9227711,KEY,
2017-12-18,20.0,20.195,19.965,20.16,11163061,KEY,
2017-12-15,19.62,19.97,19.585,19.76,16624327,KEY,
2017-12-14,19.8,19.93,19.44,19.52,8270455,KEY,
2017-12-13,19.97,20.15,19.69,19.7,9142091,KEY,
2017-12-12,19.83,20.06,19.75,20.0,8910380,KEY,
2017-12-11,19.87,20.07,19.63,19.73,9581845,KEY,
2017-12-08,19.82,19.89,19.6,19.89,10344169,KEY,
2017-12-07,19.32,19.78,19.27,19.74,10268264,KEY,
2017-12-06,19.23,19.65,19.21,19.38,10170261,KEY,
2017-12-05,19.63,19.74,19.28,19.33,9827743,KEY,
2017-12-04,19.51,19.93,19.47,19.63,16942201,KEY,
2017-12-01,19.01,19.21,18.54,19.13,15609957,KEY,
2017-11-30,19.14,19.38,18.94,18.98,19811970,KEY,
2017-11-29,18.66,19.125,18.6136,19.01,17054207,KEY,
2017-11-28,18.08,18.52,18.005,18.48,19384451,KEY,
2017-11-27,18.06,18.11,17.95,18.01,8470596,KEY,
2017-11-24,18.29,18.29,18.12,18.14,3628843,KEY,
