date,open,high,low,close,volume,Name,
2018-02-06,37.41,37.83,37.02,37.63,8980006,NEM,
2018-02-05,39.17,39.48,37.76,37.8,8489691,NEM,
2018-02-02,39.88,39.89,38.9,38.97,5936215,NEM,
2018-02-01,40.23,41.02,40.17,40.36,4339331,NEM,
2018-01-31,40.39,40.61,39.83,40.51,5987615,NEM,
2018-01-30,40.12,40.55,39.65,40.1,4204321,NEM,
2018-01-29,40.78,40.92,40.04,40.08,4742314,NEM,
2018-01-26,40.85,41.3,40.83,41.05,3338425,NEM,
2018-01-25,41.75,41.93,40.67,40.77,5814397,NEM,
2018-01-24,41.17,42.04,41.17,41.57,8014426,NEM,
2018-01-23,39.53,40.44,39.1,40.32,3284037,NEM,
2018-01-22,39.55,39.69,39.24,39.66,2860852,NEM,
2018-01-19,39.64,39.64,39.23,39.47,3960445,NEM,
2018-01-18,39.48,40.0,39.17,39.24,4669408,NEM,
2018-01-17,39.69,40.25,39.41,39.45,5215747,NEM,
2018-01-16,39.79,40.215,39.13,40.0,6917779,NEM,
2018-01-12,39.04,39.84,38.86,39.79,5068428,NEM,
2018-01-11,38.41,38.895,38.4,38.84,4093259,NEM,
2018-01-10,38.47,38.5,38.0807,38.34,3542084,NEM,
2018-01-09,38.15,38.32,37.95,38.11,3902571,NEM,
2018-01-08,38.35,38.52,37.96,38.36,4719784,NEM,
2018-01-05,38.18,38.43,38.02,38.4,2877273,NEM,
2018-01-04,37.75,38.26,37.37,38.26,3876001,NEM,
2018-01-03,38.21,38.26,37.49,37.84,5143550,NEM,
2018-01-02,37.87,38.295,37.82,38.16,5325831,NEM,
2017-12-29,37.7,37.77,37.37,37.52,2725899,NEM,
2017-12-28,37.81,37.81,37.33,37.51,2244859,NEM,
2017-12-27,37.62,37.84,37.45,37.6,4041964,NEM,
2017-12-26,37.0,38.04,36.92,37.57,4347848,NEM,
2017-12-22,36.9,36.99,36.71,36.92,2217762,NEM,
2017-12-21,36.7,36.93,36.55,36.73,3669023,NEM,
2017-12-20,36.45,36.72,36.11,36.61,2814071,NEM,
2017-12-19,36.58,36.78,36.17,36.35,3151686,NEM,
2017-12-18,36.08,36.96,36.0,36.65,4531050,NEM,
2017-12-15,36.16,36.29,35.84,35.87,11602009,NEM,
2017-12-14,35.685,36.08,35.38,35.9,4415035,NEM,
2017-12-13,34.65,36.02,34.57,35.75,7527258,NEM,
2017-12-12,34.62,34.68,34.1977,34.59,6461231,NEM,
2017-12-11,35.18,35.75,34.52,34.67,7943902,NEM,
2017-12-08,35.83,36.2,35.17,35.4,5314131,NEM,
2017-12-07,35.53,36.13,35.4501,35.92,4047719,NEM,
2017-12-06,36.25,36.3999,35.78,35.83,5797417,NEM,
2017-12-05,36.6,36.795,36.07,36.2,5984142,NEM,
2017-12-04,37.24,37.24,36.66,36.84,3777345,NEM,
2017-12-01,37.07,37.61,36.78,37.19,5074715,NEM,
2017-11-30,36.35,37.2,36.35,36.99,9372356,NEM,
2017-11-29,36.7,36.91,36.32,36.6,4232807,NEM,
2017-11-28,37.13,37.59,37.09,37.14,4724116,NEM,
2017-11-27,36.97,37.11,36.6708,37.1,4760479,NEM,
2017-11-24,36.73,37.06,36.655,36.68,1705593,NEM,
