date,open,high,low,close,volume,Name,
2018-02-06,245.15,255.72,241.68,254.9,1404779,ORLY,
2018-02-05,251.73,258.47,246.46,246.49,1409164,ORLY,
2018-02-02,260.72,263.08,251.84,252.64,1470105,ORLY,
2018-02-01,263.01,266.47,260.67,262.38,952776,ORLY,
2018-01-31,269.13,271.56,263.7,264.69,1513927,ORLY,
2018-01-30,272.87,276.05,267.78,268.27,917561,ORLY,
2018-01-29,275.14,276.24,272.96,273.94,648527,ORLY,
2018-01-26,275.14,276.01,272.75,275.47,703218,ORLY,
2018-01-25,277.57,279.23,272.38,272.88,851224,ORLY,
2018-01-24,272.49,277.13,269.18,275.93,742903,ORLY,
2018-01-23,271.49,272.46,268.82,271.21,599983,ORLY,
2018-01-22,273.0,274.68,268.77,272.3,689608,ORLY,
2018-01-19,268.04,273.17,266.79,273.02,785697,ORLY,
2018-01-18,264.92,267.13,263.36,266.33,659208,ORLY,
2018-01-17,259.61,265.82,257.5,265.04,1067838,ORLY,
2018-01-16,259.86,260.51,256.35,257.89,844324,ORLY,
2018-01-12,261.15,261.15,256.13,258.6,1247619,ORLY,
2018-01-11,258.54,260.28,256.96,259.75,813856,ORLY,
2018-01-10,260.19,261.13,258.06,258.45,703169,ORLY,
2018-01-09,260.18,262.38,258.01,261.26,531236,ORLY,
2018-01-08,260.95,266.26,259.21,260.0,641363,ORLY,
2018-01-05,259.49,262.33,257.51,260.28,641546,ORLY,
2018-01-04,255.56,261.22,254.215,257.68,892177,ORLY,
2018-01-03,249.9,255.705,248.82,253.84,1358724,ORLY,
2018-01-02,241.34,252.03,241.29,249.26,1423480,ORLY,
2017-12-29,241.34,242.51,240.28,240.54,834625,ORLY,
2017-12-28,242.85,243.54,240.9582,242.36,747264,ORLY,
2017-12-27,245.0,246.02,241.68,242.31,647712,ORLY,
2017-12-26,243.66,246.89,242.235,244.65,646306,ORLY,
2017-12-22,240.98,243.4,240.15,242.5,974991,ORLY,
2017-12-21,242.68,243.235,241.08,241.5,1151861,ORLY,
2017-12-20,243.35,244.17,240.541,242.05,913590,ORLY,
2017-12-19,245.21,245.98,242.33,243.03,932554,ORLY,
2017-12-18,241.8,246.46,240.68,245.88,1385123,ORLY,
2017-12-15,243.83,244.17,239.58,240.2,1820843,ORLY,
2017-12-14,246.63,247.445,240.63,241.45,944296,ORLY,
2017-12-13,251.67,253.45,245.625,245.92,1223054,ORLY,
2017-12-12,246.23,247.94,244.65,246.86,986163,ORLY,
2017-12-11,250.08,250.64,245.37,247.24,724868,ORLY,
2017-12-08,246.39,251.38,244.595,251.07,609540,ORLY,
2017-12-07,245.0,247.98,243.14,244.86,828045,ORLY,
2017-12-06,249.53,251.22,245.46,245.83,1000586,ORLY,
2017-12-05,259.35,263.63,246.77,250.21,2115458,ORLY,
2017-12-04,236.02,252.53,235.59,250.39,1990979,ORLY,
2017-12-01,235.0,237.17,228.34,234.4,838382,ORLY,
2017-11-30,236.59,241.63,235.64,236.21,1366589,ORLY,
2017-11-29,227.49,241.49,226.25,236.32,2037074,ORLY,
2017-11-28,217.08,228.88,215.86,228.47,1215150,ORLY,
2017-11-27,217.13,218.81,214.865,216.34,789436,ORLY,
2017-11-24,217.19,219.0,215.43,216.26,388601,ORLY,
