date,open,high,low,close,volume,Name,
2018-02-06,30.6,32.01,30.0,31.25,6698771,VIAB,
2018-02-05,32.09,32.75,31.02,31.14,7190301,VIAB,
2018-02-02,33.23,33.7,32.11,32.22,5548206,VIAB,
2018-02-01,33.35,33.79,32.84,33.21,4694214,VIAB,
2018-01-31,33.19,33.6594,32.58,33.42,4585392,VIAB,
2018-01-30,33.56,33.84,32.81,32.94,3098400,VIAB,
2018-01-29,34.09,34.18,33.52,33.71,3975073,VIAB,
2018-01-26,33.64,34.09,33.49,34.09,2351189,VIAB,
2018-01-25,33.21,34.5,32.72,33.61,4347916,VIAB,
2018-01-24,33.48,33.79,33.1,33.13,2707572,VIAB,
2018-01-23,33.9,34.01,33.03,33.39,3775608,VIAB,
2018-01-22,33.0,33.97,32.55,33.94,4515504,VIAB,
2018-01-19,33.87,34.28,32.85,33.36,5933786,VIAB,
2018-01-18,32.21,34.3582,32.02,33.95,10428754,VIAB,
2018-01-17,31.46,33.0,30.55,31.96,8057310,VIAB,
2018-01-16,32.66,33.1671,31.22,31.38,9609549,VIAB,
2018-01-12,30.9,35.5499,30.58,33.76,12828381,VIAB,
2018-01-11,29.11,30.96,29.11,30.81,6355588,VIAB,
2018-01-10,28.98,29.18,27.76,29.16,7085057,VIAB,
2018-01-09,29.14,29.44,28.98,29.04,3222799,VIAB,
2018-01-08,29.17,29.28,28.7,29.18,4230418,VIAB,
2018-01-05,29.81,29.82,28.99,29.1,5235989,VIAB,
2018-01-04,30.08,30.145,29.17,29.56,5323816,VIAB,
2018-01-03,31.35,31.51,29.91,29.95,4475728,VIAB,
2018-01-02,30.51,31.25,30.43,31.19,4233377,VIAB,
2017-12-29,30.82,31.1,30.56,30.81,2299672,VIAB,
2017-12-28,31.0,31.065,30.48,30.81,2832909,VIAB,
2017-12-27,31.96,32.02,30.61,30.98,4063085,VIAB,
2017-12-26,32.17,32.56,31.61,31.87,2769035,VIAB,
2017-12-22,31.8,32.27,31.52,32.23,4039136,VIAB,
2017-12-21,31.08,31.78,30.9,31.76,6704353,VIAB,
2017-12-20,30.96,31.31,30.46,31.19,4262799,VIAB,
2017-12-19,30.75,31.035,30.43,30.93,3208877,VIAB,
2017-12-18,30.38,30.8,29.875,30.66,5089033,VIAB,
2017-12-15,29.71,30.38,29.55,30.24,14792357,VIAB,
2017-12-14,29.59,29.94,29.08,29.71,4659396,VIAB,
2017-12-13,29.61,29.71,28.8,29.52,3287528,VIAB,
2017-12-12,29.56,29.74,29.05,29.59,2878167,VIAB,
2017-12-11,29.29,29.5986,28.92,29.46,3086366,VIAB,
2017-12-08,29.97,29.97,28.55,29.29,4219717,VIAB,
2017-12-07,28.94,30.2,28.79,29.64,4846038,VIAB,
2017-12-06,28.87,29.36,28.61,28.94,4567300,VIAB,
2017-12-05,29.17,29.66,28.87,28.94,5831914,VIAB,
2017-12-04,28.64,30.09,28.63,29.18,8570376,VIAB,
2017-12-01,28.23,28.94,27.92,28.4,4546723,VIAB,
2017-11-30,28.41,28.94,27.52,28.32,8296161,VIAB,
2017-11-29,27.11,28.56,27.0004,28.42,7186416,VIAB,
2017-11-28,26.54,27.1,26.09,27.03,5904174,VIAB,
2017-11-27,26.26,26.58,26.19,26.54,4633514,VIAB,
2017-11-24,26.72,26.94,26.24,26.29,2141425,VIAB,
