date,open,high,low,close,volume,Name,
2018-02-06,60.63,60.87,59.08,60.19,2744404,WEC,
2018-02-05,61.79,62.85,61.07,61.17,2469868,WEC,
2018-02-02,62.26,62.89,61.95,62.01,1878203,WEC,
2018-02-01,64.08,64.38,62.25,62.6,4066611,WEC,
2018-01-31,63.87,64.39,62.74,64.3,2960188,WEC,
2018-01-30,63.09,63.57,62.88,63.32,2118340,WEC,
2018-01-29,63.75,63.83,63.0,63.02,1930899,WEC,
2018-01-26,64.26,64.55,63.63,64.01,1966567,WEC,
2018-01-25,63.17,64.24,63.05,64.14,1573875,WEC,
2018-01-24,63.67,63.67,63.14,63.24,1401498,WEC,
2018-01-23,63.19,64.17,63.19,63.58,1954761,WEC,
2018-01-22,63.44,63.62,62.895,63.01,1452096,WEC,
2018-01-19,63.44,63.84,63.02,63.11,1780238,WEC,
2018-01-18,63.53,63.885,62.92,63.27,2022616,WEC,
2018-01-17,63.35,63.86,63.1,63.57,2037840,WEC,
2018-01-16,63.66,64.01,62.6,63.15,2173148,WEC,
2018-01-12,63.63,64.08,63.1,63.63,1266874,WEC,
2018-01-11,63.82,64.14,63.28,63.58,1429328,WEC,
2018-01-10,64.71,64.71,63.641,63.67,1998306,WEC,
2018-01-09,65.3,65.35,64.595,64.91,1670416,WEC,
2018-01-08,64.81,65.46,64.73,65.43,1979616,WEC,
2018-01-05,65.53,65.71,64.53,64.87,1546537,WEC,
2018-01-04,65.32,65.94,65.02,65.31,1688019,WEC,
2018-01-03,65.52,66.205,65.17,65.54,1883121,WEC,
2018-01-02,66.43,66.45,65.58,65.77,1561349,WEC,
2017-12-29,66.51,66.84,66.29,66.43,1197290,WEC,
2017-12-28,65.95,66.46,65.76,66.43,1163473,WEC,
2017-12-27,65.45,65.97,65.405,65.88,1358653,WEC,
2017-12-26,65.86,66.115,65.34,65.36,901113,WEC,
2017-12-22,65.76,65.92,65.59,65.72,1522496,WEC,
2017-12-21,65.61,65.97,65.27,65.62,2307009,WEC,
2017-12-20,66.19,66.42,65.87,65.94,1533278,WEC,
2017-12-19,67.305,67.595,66.1,66.13,1242933,WEC,
2017-12-18,68.22,68.48,67.19,67.47,1815211,WEC,
2017-12-15,68.07,68.46,67.78,68.17,3183369,WEC,
2017-12-14,67.66,68.01,67.21,67.7,1070131,WEC,
2017-12-13,67.79,68.23,67.53,67.91,1408390,WEC,
2017-12-12,68.88,69.07,67.6,67.66,2345002,WEC,
2017-12-11,69.05,69.2,68.33,69.17,3172227,WEC,
2017-12-08,68.56,68.99,68.3,68.96,1413626,WEC,
2017-12-07,68.36,68.72,68.0,68.72,1293196,WEC,
2017-12-06,68.38,68.65,68.11,68.42,1175994,WEC,
2017-12-05,68.47,68.49,67.44,68.24,1811638,WEC,
2017-12-04,69.49,69.49,68.36,68.58,1894265,WEC,
2017-12-01,69.6,69.76,68.73,69.14,1371915,WEC,
2017-11-30,69.44,69.72,69.11,69.49,3964776,WEC,
2017-11-29,68.83,69.71,68.595,69.26,1866789,WEC,
2017-11-28,68.89,69.31,68.71,68.93,1820563,WEC,
2017-11-27,68.62,68.89,68.32,68.77,1019833,WEC,
2017-11-24,68.37,68.93,68.27,68.53,486449,WEC,
